"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price CAD"
"1","2","277-8599-ND","1715190","TERM BLK 6POS SIDE ENTRY 5MM PCB","","2","0","5.26000","10.52"
"2","6","296-43024-1-ND","DRV8871DDAR","IC MOTOR DRVR UNIPLR 8SO PWRPAD","","6","0","3.86000","23.16"
"3","6","493-1121-ND","UVR1J220MDD","CAP ALUM 22UF 20% 63V RADIAL","","6","0","0.32000","1.92"
"4","10","1276-1934-1-ND","CL10B104KB8NFNC","CAP CER 0.1UF 50V X7R 0603","","10","0","0.04000","0.40"
"5","2","486-1258-ND","0031.8201","FUSE BLOK CARTRIDGE 500V 10A PCB","","2","0","1.40000","2.80"
"6","2","507-1227-ND","5SF 1.6-R","FUSE GLASS 1.6A 250VAC 5X20MM","","2","0","0.35000","0.70"
"7","2","CP-102AH-ND","PJ-102AH","CONN PWR JACK 2X5.5MM SOLDER","","2","0","1.10000","2.20"
"8","12","AE11234-ND","A-20040","CONN MOD JACK 4P4C R/A UNSHLD","","12","0","0.95800","11.50"
"9","25","AE10314-ND","A-MO 4/4 F50","CONN MOD PLUG 4P4C UNSHIELDED","","25","0","0.19880","4.97"
"10","2","Q1182-ND","QFWB-30-12-US01","AC/DC WALL MOUNT ADAPTER 12V 30W","","2","0","12.92000","25.84"
"11","2","S7123-ND","PPPC202LFBN-RC","CONN HDR 40POS 0.1 GOLD PCB","","2","0","3.44000","6.88"
"12","2","507-1246-ND","5ST 1-R","FUSE GLASS 1A 250VAC 5X20MM","","2","0","0.35000","0.70"
"13","2","507-1248-ND","5ST 1.6-R","FUSE GLASS 1.6A 250VAC 5X20MM","","2","0","0.35000","0.70"
"14","10","469-1039-ND","8110","MAGNET 1"" L X 0.25"" W RECT","","10","0","1.22000","12.20"
"15","10","311-27.0KHRCT-ND","RC0603FR-0727KL","RES SMD 27K OHM 1% 1/10W 0603","","10","0","0.03200","0.32"
"16","10","311-4.70KHRCT-ND","RC0603FR-074K7L","RES SMD 4.7K OHM 1% 1/10W 0603","","10","0","0.03200","0.32"
